model,mae_mean,mae_sd,rmse_mean,r2_mean,mape_pct_mean
persistence_baseline,37.1875,0.0,44.946495970208844,0.1410867287031301,11.049657927869024
ridge_regression,43.11417048879905,0.0,50.711391804622785,-0.09337387832482058,13.037476054783479
random_forest,46.98716423064272,1.4897376501667483,56.700505921253054,-0.367786850048765,15.002892333379389
linear_regression,47.11209082177731,0.0,54.84837955520828,-0.27904326785409617,14.378172110169448
hist_gradient_boosting,56.14435109363829,0.0,68.56658288017374,-0.998861237883402,17.877509079258964
seasonal_naive_12m,143.8125,0.0,167.144211685598,-10.877917820231549,41.1380585939432
